trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,dummy_date
21306385,U.T. Student Membership,862,2019-11-26 15:49:47 UTC,3790,Lake Austin Blvd/Deep Eddy,3790,Lake Austin Blvd/Deep Eddy,22,2024-01-02
21304367,Single Trip (Pay-as-you-ride),647,2019-11-26 08:44:39 UTC,4061,Lakeshore/Austin Hostel,4061,Lakeshore/Austin Hostel,22,2024-01-02
21304359,Single Trip (Pay-as-you-ride),882,2019-11-26 08:42:15 UTC,4061,Lakeshore/Austin Hostel,4061,Lakeshore/Austin Hostel,23,2024-01-02
21304362,Single Trip (Pay-as-you-ride),420,2019-11-26 08:43:43 UTC,4061,Lakeshore/Austin Hostel,4061,Lakeshore/Austin Hostel,26,2024-01-02
21305911,Local365,230,2019-11-26 14:20:05 UTC,4047,8th/Lavaca,4057,6th/Chalmers ,9,2024-01-02
21307093,U.T. Student Membership,62,2019-11-26 18:16:41 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,4058,Hollow Creek/Barton Hills,913,2024-01-02
21305821,Explorer,745,2019-11-26 14:06:35 UTC,2822,East 6th/Robert T. Martinez,2544,East 6th/Pedernales,154,2024-01-02
21306424,Local365,2048,2019-11-26 15:55:31 UTC,3619,6th/Congress,4048,South Congress @ Bouldin Creek,7,2024-01-02
21305421,U.T. Student Membership,827,2019-11-26 12:54:02 UTC,3621,3rd/Nueces,4061,Lakeshore/Austin Hostel,25,2024-01-02
21306185,Single Trip (Pay-as-you-ride),650,2019-11-26 15:11:27 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,4048,South Congress @ Bouldin Creek,168,2024-01-02
21306178,Single Trip (Pay-as-you-ride),1612,2019-11-26 15:10:40 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,4048,South Congress @ Bouldin Creek,168,2024-01-02
21304842,Explorer,213,2019-11-26 10:55:34 UTC,2494,2nd/Congress,4061,Lakeshore/Austin Hostel,52,2024-01-02
21305026,Local365,2143,2019-11-26 11:38:28 UTC,3799,23rd/San Jacinto @ DKR Stadium,3294,6th/Lavaca,32,2024-01-02
21305890,Explorer,342,2019-11-26 14:16:36 UTC,3292,East 4th/Chicon,2544,East 6th/Pedernales,144,2024-01-02
21304209,Explorer,329,2019-11-26 07:42:30 UTC,3292,East 4th/Chicon,2568,East 11th/Victory Grill,15,2024-01-02
21304203,Explorer,898,2019-11-26 07:41:33 UTC,3292,East 4th/Chicon,2568,East 11th/Victory Grill,16,2024-01-02
21307741,Single Trip (Pay-as-you-ride),200,2019-11-26 22:50:32 UTC,2540,17th/Guadalupe,3660,East 6th/Medina,21,2024-01-02
21304693,U.T. Student Membership,881,2019-11-26 10:20:45 UTC,2547,21st/Guadalupe,3294,6th/Lavaca,7,2024-01-02
21305065,Explorer,894,2019-11-26 11:48:08 UTC,4061,Lakeshore/Austin Hostel,2494,2nd/Congress,41,2024-01-02
21307501,Local365,043G,2019-11-26 20:46:28 UTC,4048,South Congress @ Bouldin Creek,2494,2nd/Congress,5,2024-01-02
21305724,24 Hour Walk Up Pass,507,2019-11-26 13:51:21 UTC,3686,Sterzing/Barton Springs,2494,2nd/Congress,20,2024-01-02
21306317,Single Trip (Pay-as-you-ride),75,2019-11-26 15:37:08 UTC,2494,2nd/Congress,2494,2nd/Congress,22,2024-01-02
21306311,Single Trip (Pay-as-you-ride),100,2019-11-26 15:35:53 UTC,2494,2nd/Congress,2494,2nd/Congress,25,2024-01-02
21306524,24 Hour Walk Up Pass,894,2019-11-26 16:11:31 UTC,2494,2nd/Congress,2494,2nd/Congress,62,2024-01-02
21306323,Single Trip (Pay-as-you-ride),894,2019-11-26 15:37:59 UTC,2494,2nd/Congress,2494,2nd/Congress,22,2024-01-02
21306529,24 Hour Walk Up Pass,100,2019-11-26 16:12:10 UTC,2494,2nd/Congress,2494,2nd/Congress,61,2024-01-02
