trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,dummy_date
21312064,Explorer,995,2019-11-28 16:40:40 UTC,4061,Lakeshore/Austin Hostel,4050,5th/Campbell,43,2022-04-23
21312062,24 Hour Walk Up Pass,420,2019-11-28 16:40:27 UTC,4061,Lakeshore/Austin Hostel,4050,5th/Campbell,43,2022-04-23
21311288,Single Trip (Pay-as-you-ride),066G,2019-11-28 11:34:17 UTC,2823,East 5th/Broadway @ Capital Metro HQ,2823,East 5th/Broadway @ Capital Metro HQ,71,2022-04-23
21312061,Explorer,683,2019-11-28 16:40:11 UTC,4061,Lakeshore/Austin Hostel,4050,5th/Campbell,43,2022-04-23
21312063,Explorer,12811,2019-11-28 16:40:29 UTC,4061,Lakeshore/Austin Hostel,4050,5th/Campbell,43,2022-04-23
21312068,Explorer,034G,2019-11-28 16:41:37 UTC,4061,Lakeshore/Austin Hostel,4050,5th/Campbell,42,2022-04-23
21311990,Explorer,12811,2019-11-28 16:02:10 UTC,2562,8th/San Jacinto,4061,Lakeshore/Austin Hostel,37,2022-04-23
21311993,Explorer,995,2019-11-28 16:02:47 UTC,2562,8th/San Jacinto,4061,Lakeshore/Austin Hostel,37,2022-04-23
21311438,Single Trip (Pay-as-you-ride),2355,2019-11-28 12:40:15 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,3790,Lake Austin Blvd/Deep Eddy,52,2022-04-23
21311434,Single Trip (Pay-as-you-ride),024G,2019-11-28 12:39:14 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,3790,Lake Austin Blvd/Deep Eddy,53,2022-04-23
21311430,Single Trip (Pay-as-you-ride),198,2019-11-28 12:38:09 UTC,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,3790,Lake Austin Blvd/Deep Eddy,54,2022-04-23
21311182,Local365,229G,2019-11-28 10:49:16 UTC,2575,Riverside/South Lamar,4058,Hollow Creek/Barton Hills,19,2022-04-23
21311869,24 Hour Walk Up Pass,106G,2019-11-28 15:20:10 UTC,3684,Cesar Chavez/Congress,4062,Lakeshore/Pleasant Valley,20,2022-04-23
21311872,24 Hour Walk Up Pass,134,2019-11-28 15:20:42 UTC,3684,Cesar Chavez/Congress,4062,Lakeshore/Pleasant Valley,20,2022-04-23
21311871,24 Hour Walk Up Pass,849,2019-11-28 15:20:26 UTC,3684,Cesar Chavez/Congress,4062,Lakeshore/Pleasant Valley,20,2022-04-23
21312203,24 Hour Walk Up Pass,375G,2019-11-28 18:48:10 UTC,2494,2nd/Congress,3660,East 6th/Medina,32,2022-04-23
21311924,Explorer,683,2019-11-28 15:42:05 UTC,3794,"Dean Keeton/Speedway ",4061,Lakeshore/Austin Hostel,57,2022-04-23
21311925,Explorer,034G,2019-11-28 15:42:17 UTC,3794,"Dean Keeton/Speedway ",4061,Lakeshore/Austin Hostel,59,2022-04-23
21311951,24 Hour Walk Up Pass,088G,2019-11-28 15:48:19 UTC,3798,21st/Speedway @ PCL,4061,Lakeshore/Austin Hostel,51,2022-04-23
21311266,24 Hour Walk Up Pass,1531,2019-11-28 11:24:19 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,2494,2nd/Congress,40,2022-04-23
21312153,24 Hour Walk Up Pass,375G,2019-11-28 17:43:13 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,2494,2nd/Congress,25,2022-04-23
21311268,24 Hour Walk Up Pass,1471,2019-11-28 11:24:53 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,2494,2nd/Congress,40,2022-04-23
21311565,Explorer,922,2019-11-28 13:21:48 UTC,3390,6th/Brazos,2495,4th/Congress,130,2022-04-23
21311606,24 Hour Walk Up Pass,387,2019-11-28 13:36:48 UTC,3294,6th/Lavaca,2503,South Congress/James,21,2022-04-23
21311604,24 Hour Walk Up Pass,578,2019-11-28 13:36:17 UTC,3294,6th/Lavaca,2503,South Congress/James,21,2022-04-23
21311607,24 Hour Walk Up Pass,152,2019-11-28 13:37:17 UTC,3294,6th/Lavaca,2503,South Congress/James,20,2022-04-23
21311378,Pay-as-you-ride,75,2019-11-28 12:14:39 UTC,3513,South Congress/Barton Springs @ The Austin American-Statesman,2539,3rd/Trinity @ The Convention Center,6,2022-04-23
21311366,Local365,2351,2019-11-28 12:10:42 UTC,2552,3rd/West,2539,3rd/Trinity @ The Convention Center,26,2022-04-23
21312251,HT Ram Membership,078G,2019-11-28 19:41:24 UTC,2548,Guadalupe/West Mall @ University Co-op,2540,17th/Guadalupe,902,2022-04-23
21311973,Single Trip (Pay-as-you-ride),461,2019-11-28 15:56:32 UTC,3684,Cesar Chavez/Congress,2547,21st/Guadalupe,16,2022-04-23
